,targetName,gameID,level_2,phase_a,phase_b,actual_euclidean_distance,phase_pair,optimal_euclidean_distance,temporal_distance,phase_a_rawF1DiscreteScore,phase_b_rawF1DiscreteScore,condition
805,hand_selected_009,6343-797881cb-787b-456a-9a09-18fcdd882240,0,pre,repetition 1,2.157328480601477,pre to repetition 1,0.863092103959152,0.7777777777777778,0.8095238095238096,0.9583333333333334,repeated
806,hand_selected_009,6343-797881cb-787b-456a-9a09-18fcdd882240,1,pre,repetition 2,1.971492944964921,pre to repetition 2,1.0991942426716113,0.6666666666666666,0.8095238095238096,0.9791666666666666,repeated
807,hand_selected_009,6343-797881cb-787b-456a-9a09-18fcdd882240,2,pre,post,3.937636154527178,pre to post,0.7091480386046403,0.3333333333333333,0.8095238095238096,0.9583333333333334,repeated
808,hand_selected_009,6343-797881cb-787b-456a-9a09-18fcdd882240,3,repetition 1,repetition 2,2.4994281353631496,repetition 1 to repetition 2,0.7024970098878439,0.7777777777777778,0.9583333333333334,0.9791666666666666,repeated
809,hand_selected_009,6343-797881cb-787b-456a-9a09-18fcdd882240,4,repetition 1,post,3.5583035259496745,repetition 1 to post,0.6368945341743196,0.5555555555555556,0.9583333333333334,0.9583333333333334,repeated
810,hand_selected_009,6343-797881cb-787b-456a-9a09-18fcdd882240,5,repetition 2,post,3.6539500407510674,repetition 2 to post,0.6584218806472077,0.7454545454545454,0.9791666666666666,0.9583333333333334,repeated
811,hand_selected_009,6679-27a62967-b9d8-4a25-8b63-74e16e2f7f32,0,pre,repetition 1,1.5233050187571329,pre to repetition 1,0.2194739602157359,0.8909090909090909,1.0,1.0,repeated
812,hand_selected_009,6679-27a62967-b9d8-4a25-8b63-74e16e2f7f32,1,pre,repetition 2,3.415136467284999,pre to repetition 2,0.2194739602157359,0.5636363636363636,1.0,1.0,repeated
813,hand_selected_009,6679-27a62967-b9d8-4a25-8b63-74e16e2f7f32,2,pre,post,0.8752733549224196,pre to post,0.0,0.9272727272727274,1.0,1.0,repeated
814,hand_selected_009,6679-27a62967-b9d8-4a25-8b63-74e16e2f7f32,3,repetition 1,repetition 2,2.1980980785212814,repetition 1 to repetition 2,0.0,0.6727272727272727,1.0,1.0,repeated
815,hand_selected_009,6679-27a62967-b9d8-4a25-8b63-74e16e2f7f32,4,repetition 1,post,2.202298219877907,repetition 1 to post,0.2194739602157359,0.8181818181818182,1.0,1.0,repeated
816,hand_selected_009,6679-27a62967-b9d8-4a25-8b63-74e16e2f7f32,5,repetition 2,post,3.59129197775742,repetition 2 to post,0.2194739602157359,0.6363636363636364,1.0,1.0,repeated
817,hand_selected_009,6790-c17728a7-7127-4573-b291-0128340c8c92,0,pre,repetition 1,4.300970476085624,pre to repetition 1,1.0499433047536866,0.3888888888888889,0.9333333333333332,0.875,repeated
818,hand_selected_009,6790-c17728a7-7127-4573-b291-0128340c8c92,1,pre,repetition 2,3.584165507302598,pre to repetition 2,0.5828427124746189,0.6,0.9333333333333332,0.9387755102040816,repeated
819,hand_selected_009,6790-c17728a7-7127-4573-b291-0128340c8c92,2,pre,post,3.5443563747631854,pre to post,0.523606797749979,0.3333333333333333,0.9333333333333332,0.9565217391304348,repeated
820,hand_selected_009,6790-c17728a7-7127-4573-b291-0128340c8c92,3,repetition 1,repetition 2,3.749408687871839,repetition 1 to repetition 2,1.2682459513747883,0.5,0.875,0.9387755102040816,repeated
821,hand_selected_009,6790-c17728a7-7127-4573-b291-0128340c8c92,4,repetition 1,post,1.9333868867187516,repetition 1 to post,1.2197472626970811,0.8333333333333334,0.875,0.9565217391304348,repeated
822,hand_selected_009,6790-c17728a7-7127-4573-b291-0128340c8c92,5,repetition 2,post,3.8118480674620274,repetition 2 to post,0.7472135954999579,0.28888888888888886,0.9387755102040816,0.9565217391304348,repeated
823,hand_selected_009,6834-b18d5535-d036-4aa4-bd46-e31404e1a9b0,0,pre,repetition 1,0.8433461278522485,pre to repetition 1,0.0,0.911111111111111,0.9090909090909092,0.9090909090909092,repeated
824,hand_selected_009,6834-b18d5535-d036-4aa4-bd46-e31404e1a9b0,1,pre,repetition 2,1.7165063509461096,pre to repetition 2,0.21650635094610965,0.8571428571428571,0.9090909090909092,0.8571428571428571,repeated
825,hand_selected_009,6834-b18d5535-d036-4aa4-bd46-e31404e1a9b0,2,pre,post,3.469645661226662,pre to post,1.7005621495631886,0.33333333333333337,0.9090909090909092,0.8333333333333333,repeated
826,hand_selected_009,6834-b18d5535-d036-4aa4-bd46-e31404e1a9b0,3,repetition 1,repetition 2,1.8535533905932737,repetition 1 to repetition 2,0.3535533905932738,0.8571428571428571,0.9090909090909092,0.8571428571428571,repeated
827,hand_selected_009,6834-b18d5535-d036-4aa4-bd46-e31404e1a9b0,4,repetition 1,post,3.469645661226662,repetition 1 to post,1.7005621495631886,0.33333333333333337,0.9090909090909092,0.8333333333333333,repeated
828,hand_selected_009,6834-b18d5535-d036-4aa4-bd46-e31404e1a9b0,5,repetition 2,post,2.413295843435804,repetition 2 to post,1.7005621495631886,0.5238095238095238,0.8571428571428571,0.8333333333333333,repeated
829,hand_selected_009,7003-7e4d5b38-649c-46ce-8249-3d2dd2317136,0,pre,post,2.079702089150376,pre to post,0.6403882032022076,0.7857142857142856,0.9090909090909092,0.9166666666666666,control
830,hand_selected_009,7403-51a56b3d-e3c7-4e3d-b740-b9d03ecb6b23,0,pre,post,0.0,pre to post,0.0,1.0,1.0,1.0,control
831,hand_selected_009,8393-20a088d6-1640-4144-9c9b-1a4de630af05,0,pre,post,4.946535701760884,pre to post,3.6171672239607737,-0.6,0.5714285714285715,0.6739130434782609,control
832,hand_selected_009,8397-be124375-c065-4d32-b13f-3c684ac930ea,0,pre,post,0.8903882032022076,pre to post,0.8903882032022076,0.9999999999999998,0.9130434782608696,0.8723404255319149,control
833,hand_selected_009,8443-39606760-f554-4047-bbe2-fba6c5d88180,0,pre,post,2.6761433558945047,pre to post,0.6064495102245979,0.8222222222222221,1.0,0.9574468085106383,control
834,hand_selected_009,8643-ca88fa7f-12b9-44fe-8baf-52b96ddf3ec3,0,pre,post,2.597972052122965,pre to post,0.5048675597924277,0.7777777777777777,0.9565217391304348,1.0,control
835,hand_selected_009,9029-bf6aa9be-2c19-4801-8b58-04f3a2398178,0,pre,post,4.751486567416791,pre to post,2.7464839811561443,0.0,1.0,0.9387755102040816,control
836,hand_selected_009,9153-0ba62326-2435-45d8-962d-97de391c7fc4,0,pre,repetition 1,2.224658468802749,pre to repetition 1,0.4948716593053935,0.8095238095238096,0.8837209302325582,0.9347826086956522,repeated
837,hand_selected_009,9153-0ba62326-2435-45d8-962d-97de391c7fc4,1,pre,repetition 2,2.5987353042224455,pre to repetition 2,0.0,0.6190476190476191,0.8837209302325582,0.9787234042553192,repeated
838,hand_selected_009,9153-0ba62326-2435-45d8-962d-97de391c7fc4,2,pre,post,2.4414466593033537,pre to post,0.0,0.5238095238095238,0.8837209302325582,0.9787234042553192,repeated
839,hand_selected_009,9153-0ba62326-2435-45d8-962d-97de391c7fc4,3,repetition 1,repetition 2,3.2079881880187466,repetition 1 to repetition 2,0.6936267430132539,0.7222222222222222,0.9347826086956522,0.9787234042553192,repeated
840,hand_selected_009,9153-0ba62326-2435-45d8-962d-97de391c7fc4,4,repetition 1,post,3.383354172965588,repetition 1 to post,0.8753683530567611,0.6666666666666666,0.9347826086956522,0.9787234042553192,repeated
841,hand_selected_009,9153-0ba62326-2435-45d8-962d-97de391c7fc4,5,repetition 2,post,1.301924771614939,repetition 2 to post,0.4650281539872885,0.911111111111111,0.9787234042553192,0.9787234042553192,repeated
842,hand_selected_009,9242-61cee60a-233f-42d0-b588-c8ba6453d564,0,pre,repetition 1,5.098704292082653,pre to repetition 1,2.7436650501653848,0.34545454545454546,0.8,0.86,repeated
843,hand_selected_009,9242-61cee60a-233f-42d0-b588-c8ba6453d564,1,pre,repetition 2,4.660323165471603,pre to repetition 2,3.010463038118805,0.4666666666666666,0.8,0.9565217391304348,repeated
844,hand_selected_009,9242-61cee60a-233f-42d0-b588-c8ba6453d564,2,pre,post,5.573968315311791,pre to post,2.7906244216986926,0.21428571428571427,0.8,0.8292682926829268,repeated
845,hand_selected_009,9242-61cee60a-233f-42d0-b588-c8ba6453d564,3,repetition 1,repetition 2,2.6948145220838633,repetition 1 to repetition 2,1.0513233075965878,0.8222222222222221,0.86,0.9565217391304348,repeated
846,hand_selected_009,9242-61cee60a-233f-42d0-b588-c8ba6453d564,4,repetition 1,post,0.6811862178478972,repetition 1 to post,0.6811862178478972,0.9999999999999998,0.86,0.8292682926829268,repeated
847,hand_selected_009,9242-61cee60a-233f-42d0-b588-c8ba6453d564,5,repetition 2,post,2.283516676904851,repetition 2 to post,0.2795084971874737,0.7857142857142856,0.9565217391304348,0.8292682926829268,repeated
848,hand_selected_009,9249-ae94c595-416c-447d-bfb6-529a4944bb02,0,pre,post,1.5907423037006778,pre to post,0.5723666228124977,0.8909090909090909,0.9565217391304348,1.0,control
849,hand_selected_009,9324-80d12e76-e2ce-46ce-8dbe-e04f0d498f7e,0,pre,post,3.676235858661688,pre to post,1.5569970693666222,0.33333333333333337,0.8372093023255814,0.6190476190476191,control
850,hand_selected_009,9415-40177ff4-0b4d-494c-96b4-3409ff007cdb,0,pre,post,5.530862178275992,pre to post,2.1668184745638537,0.4999999999999999,0.5098039215686274,0.8936170212765957,control
851,hand_selected_009,9659-5abde78c-ee50-4470-8814-d0f698fcd93b,0,pre,post,2.4718732719120093,pre to post,1.664546814736001,0.8333333333333334,0.8260869565217391,0.979591836734694,control
852,hand_selected_009,9758-5910a61e-8d8b-44cd-b2d1-f514c03ee041,0,pre,repetition 1,1.8513264383786432,pre to repetition 1,0.9835932182861961,0.8181818181818181,0.9565217391304348,0.9148936170212766,repeated
853,hand_selected_009,9758-5910a61e-8d8b-44cd-b2d1-f514c03ee041,1,pre,repetition 2,3.01126200374286,pre to repetition 2,1.4044953315288462,0.6363636363636362,0.9565217391304348,0.8301886792452831,repeated
