,targetName,gameID,level_2,phase_a,phase_b,actual_euclidean_distance,phase_pair,optimal_euclidean_distance,temporal_similarity,phase_a_rawF1DiscreteScore,phase_b_rawF1DiscreteScore,condition
384,hand_selected_005,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,3,repetition 1,repetition 2,3.0447668624871445,repetition 1 to repetition 2,0.68977530353517,0.6190476190476191,1.0,1.0,repeated
385,hand_selected_005,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,4,repetition 1,post,3.1841828855597427,repetition 1 to post,1.7253838900662242,0.6190476190476191,1.0,0.75,repeated
386,hand_selected_005,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,5,repetition 2,post,1.1765811396428272,repetition 2 to post,1.1765811396428272,1.0,1.0,0.75,repeated
387,hand_selected_005,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,0,pre,repetition 1,3.5117231423344095,pre to repetition 1,2.7863912010391503,-0.33333333333333337,0.4,0.6285714285714286,repeated
388,hand_selected_005,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,1,pre,repetition 2,2.494438257849294,pre to repetition 2,2.494438257849294,1.0,0.4,0.96,repeated
389,hand_selected_005,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,2,pre,post,4.866384200934006,pre to post,3.8078895684544762,-1.0,0.4,0.9583333333333334,repeated
390,hand_selected_005,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,3,repetition 1,repetition 2,3.37457193544891,repetition 1 to repetition 2,2.767766952966369,0.3333333333333334,0.6285714285714286,0.96,repeated
391,hand_selected_005,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,4,repetition 1,post,2.0116693275233986,repetition 1 to post,1.6196771661547686,0.6666666666666669,0.6285714285714286,0.9583333333333334,repeated
392,hand_selected_005,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,5,repetition 2,post,2.0572100162244533,repetition 2 to post,1.8216237214105273,0.8571428571428571,0.96,0.9583333333333334,repeated
393,hand_selected_005,0823-6fe08630-db1c-47e9-b895-7a2bf343bb77,0,pre,repetition 1,2.6420879241524253,pre to repetition 1,2.0572889275924324,0.7142857142857143,0.9090909090909092,1.0,repeated
394,hand_selected_005,0823-6fe08630-db1c-47e9-b895-7a2bf343bb77,1,pre,repetition 2,2.926922662457842,pre to repetition 2,2.1065843301135145,0.4285714285714286,0.9090909090909092,1.0,repeated
395,hand_selected_005,0823-6fe08630-db1c-47e9-b895-7a2bf343bb77,2,pre,post,2.8432950715325283,pre to post,1.832632446392313,0.7142857142857143,0.9090909090909092,1.0,repeated
396,hand_selected_005,0823-6fe08630-db1c-47e9-b895-7a2bf343bb77,3,repetition 1,repetition 2,1.8420533274750153,repetition 1 to repetition 2,0.8413994853778709,0.8333333333333334,1.0,1.0,repeated
397,hand_selected_005,0823-6fe08630-db1c-47e9-b895-7a2bf343bb77,4,repetition 1,post,2.7315651235185903,repetition 1 to post,2.546740387977409,0.7142857142857143,1.0,1.0,repeated
398,hand_selected_005,0823-6fe08630-db1c-47e9-b895-7a2bf343bb77,5,repetition 2,post,2.8824137647279606,repetition 2 to post,2.5265082457547097,0.6190476190476191,1.0,1.0,repeated
399,hand_selected_005,0837-49141475-8680-436d-8dfe-c9067f85ba30,0,pre,repetition 1,2.7169170680389225,pre to repetition 1,0.75,0.6666666666666669,0.38888888888888895,0.625,repeated
400,hand_selected_005,0837-49141475-8680-436d-8dfe-c9067f85ba30,1,pre,repetition 2,4.427050983124842,pre to repetition 2,3.296357376887758,0.0,0.38888888888888895,0.7755102040816326,repeated
401,hand_selected_005,0837-49141475-8680-436d-8dfe-c9067f85ba30,2,pre,post,5.1208603445049,pre to post,3.153943276465977,0.6666666666666669,0.38888888888888895,0.679245283018868,repeated
402,hand_selected_005,0837-49141475-8680-436d-8dfe-c9067f85ba30,3,repetition 1,repetition 2,4.311776672359078,repetition 1 to repetition 2,2.5217469407939404,0.33333333333333337,0.625,0.7755102040816326,repeated
403,hand_selected_005,0837-49141475-8680-436d-8dfe-c9067f85ba30,4,repetition 1,post,2.454334269642707,repetition 1 to post,1.2427995497370194,0.5238095238095238,0.625,0.679245283018868,repeated
404,hand_selected_005,0837-49141475-8680-436d-8dfe-c9067f85ba30,5,repetition 2,post,4.305403051210483,repetition 2 to post,2.413930095833023,0.28888888888888886,0.7755102040816326,0.679245283018868,repeated
405,hand_selected_005,0873-2851611f-42e5-4913-979c-1148321ce97a,0,pre,repetition 1,2.6287738422900584,pre to repetition 1,0.68977530353517,0.7142857142857143,1.0,1.0,repeated
406,hand_selected_005,0873-2851611f-42e5-4913-979c-1148321ce97a,1,pre,repetition 2,3.0961094109733622,pre to repetition 2,1.1428571428571428,0.7142857142857143,1.0,1.0,repeated
407,hand_selected_005,0873-2851611f-42e5-4913-979c-1148321ce97a,2,pre,post,1.832632446392313,pre to post,0.68977530353517,0.9047619047619049,1.0,1.0,repeated
408,hand_selected_005,0873-2851611f-42e5-4913-979c-1148321ce97a,3,repetition 1,repetition 2,1.5569970693666222,repetition 1 to repetition 2,1.4285714285714286,0.9047619047619049,1.0,1.0,repeated
409,hand_selected_005,0873-2851611f-42e5-4913-979c-1148321ce97a,4,repetition 1,post,2.4888937419366397,repetition 1 to post,1.1846469628405636,0.8095238095238096,1.0,1.0,repeated
410,hand_selected_005,0873-2851611f-42e5-4913-979c-1148321ce97a,5,repetition 2,post,3.136879225488389,repetition 2 to post,1.832632446392313,0.8095238095238096,1.0,1.0,repeated
411,hand_selected_005,0932-497aa71d-ab24-43b1-9807-f93430084a41,0,pre,repetition 1,2.9530578677058172,pre to repetition 1,1.8143915862287792,0.7333333333333333,0.8,0.875,repeated
412,hand_selected_005,0932-497aa71d-ab24-43b1-9807-f93430084a41,1,pre,repetition 2,2.0388909120056424,pre to repetition 2,1.67741585037433,0.6,0.8,1.0,repeated
413,hand_selected_005,0932-497aa71d-ab24-43b1-9807-f93430084a41,2,pre,post,1.804737854124365,pre to post,1.6094757082487299,0.8666666666666666,0.8,1.0,repeated
414,hand_selected_005,0932-497aa71d-ab24-43b1-9807-f93430084a41,3,repetition 1,repetition 2,2.383576075497733,repetition 1 to repetition 2,1.3857928838888423,0.7222222222222222,0.875,1.0,repeated
415,hand_selected_005,0932-497aa71d-ab24-43b1-9807-f93430084a41,4,repetition 1,post,3.161770199464388,repetition 1 to post,1.3607936896715844,0.7857142857142856,0.875,1.0,repeated
416,hand_selected_005,0932-497aa71d-ab24-43b1-9807-f93430084a41,5,repetition 2,post,2.7307864520887417,repetition 2 to post,0.6403882032022076,0.6428571428571428,1.0,1.0,repeated
417,hand_selected_005,0976-bad77500-c02a-44f0-bb87-5dd2768e977c,0,pre,post,3.984848754364348,pre to post,2.636557436206252,0.4666666666666666,0.375,1.0,control
418,hand_selected_005,1106-c12ab2b8-d38b-4e8f-9244-5adfbadd1093,0,pre,post,2.167400756247192,pre to post,1.1966237214105273,0.6428571428571428,1.0,0.979591836734694,control
419,hand_selected_005,1217-b2efdb5b-ed5d-45e5-850e-795c28ecf870,0,pre,repetition 1,3.3736770531893967,pre to repetition 1,1.5928900438009326,0.6,0.8085106382978724,0.4,repeated
420,hand_selected_005,1217-b2efdb5b-ed5d-45e5-850e-795c28ecf870,1,pre,repetition 2,1.939123904085647,pre to repetition 2,1.5507771919912519,0.911111111111111,0.8085106382978724,0.8695652173913043,repeated
421,hand_selected_005,1217-b2efdb5b-ed5d-45e5-850e-795c28ecf870,2,pre,post,3.237098863628361,pre to post,1.7635010578423929,0.7090909090909091,0.8085106382978724,0.9019607843137256,repeated
422,hand_selected_005,1217-b2efdb5b-ed5d-45e5-850e-795c28ecf870,3,repetition 1,repetition 2,3.35497389716224,repetition 1 to repetition 2,1.7844352131638779,0.6,0.4,0.8695652173913043,repeated
423,hand_selected_005,1217-b2efdb5b-ed5d-45e5-850e-795c28ecf870,4,repetition 1,post,2.7438540110355767,repetition 1 to post,1.894427190999916,0.39999999999999997,0.4,0.9019607843137256,repeated
424,hand_selected_005,1217-b2efdb5b-ed5d-45e5-850e-795c28ecf870,5,repetition 2,post,3.9207094586544584,repetition 2 to post,1.3710246413310572,0.7333333333333333,0.8695652173913043,0.9019607843137256,repeated
425,hand_selected_005,1455-8849033d-3271-4180-bf52-a3871e8f372f,0,pre,post,4.839483184391628,pre to post,2.8746438554972173,0.23809523809523814,0.6190476190476191,0.7111111111111111,control
426,hand_selected_005,1556-61be62e7-2a5a-4695-9ad2-f7827a87833f,0,pre,post,3.596902401494591,pre to post,1.9847031752845956,0.8095238095238096,0.9090909090909092,0.9565217391304348,control
427,hand_selected_005,1663-1b9e6d15-043f-402a-989c-6619ee13c59b,0,pre,post,2.3622368387521058,pre to post,0.8326324463923128,0.8095238095238096,0.7906976744186046,0.9787234042553192,control
428,hand_selected_005,1691-3673775e-bf17-46c9-b775-79afc1355b02,0,pre,repetition 1,2.0337817630197095,pre to repetition 1,1.5598385830773842,0.8571428571428571,0.851063829787234,1.0,repeated
429,hand_selected_005,1691-3673775e-bf17-46c9-b775-79afc1355b02,1,pre,repetition 2,3.127437965067175,pre to repetition 2,1.6177230202502582,0.4999999999999999,0.851063829787234,0.9565217391304348,repeated
430,hand_selected_005,1691-3673775e-bf17-46c9-b775-79afc1355b02,2,pre,post,2.525719875238962,pre to post,1.6447117094103185,0.6428571428571428,0.851063829787234,1.0,repeated
431,hand_selected_005,1691-3673775e-bf17-46c9-b775-79afc1355b02,3,repetition 1,repetition 2,3.2479120075246417,repetition 1 to repetition 2,1.2283378909163518,0.7222222222222222,1.0,0.9565217391304348,repeated
432,hand_selected_005,1691-3673775e-bf17-46c9-b775-79afc1355b02,4,repetition 1,post,1.819479216882342,repetition 1 to post,1.2071067811865475,0.6428571428571428,1.0,1.0,repeated
433,hand_selected_005,1691-3673775e-bf17-46c9-b775-79afc1355b02,5,repetition 2,post,3.1692459187374884,repetition 2 to post,0.954301701895995,0.7142857142857142,0.9565217391304348,1.0,repeated
434,hand_selected_005,1700-167b9ff0-0c2b-4d80-853f-d100fb9ba76d,0,pre,post,3.411358678356436,pre to post,2.446260563940016,0.6428571428571428,0.923076923076923,1.0,control
435,hand_selected_005,1763-c95ef836-ba0c-4abf-a4c4-9942d92869cd,0,pre,repetition 1,4.661738645075789,pre to repetition 1,2.532063244065133,0.04761904761904762,0.923076923076923,1.0,repeated
436,hand_selected_005,1763-c95ef836-ba0c-4abf-a4c4-9942d92869cd,1,pre,repetition 2,4.531786605100355,pre to repetition 2,2.439245718543649,0.3571428571428571,0.923076923076923,1.0,repeated
437,hand_selected_005,1763-c95ef836-ba0c-4abf-a4c4-9942d92869cd,2,pre,post,4.538137188216401,pre to post,2.5683467913726363,0.3571428571428571,0.923076923076923,0.9565217391304348,repeated
438,hand_selected_005,1763-c95ef836-ba0c-4abf-a4c4-9942d92869cd,3,repetition 1,repetition 2,0.2857142857142857,repetition 1 to repetition 2,0.2857142857142857,1.0,1.0,1.0,repeated
439,hand_selected_005,1763-c95ef836-ba0c-4abf-a4c4-9942d92869cd,4,repetition 1,post,0.6051525682142557,repetition 1 to post,0.6051525682142557,1.0,1.0,0.9565217391304348,repeated
