,gameID,numBlocks_pre,targetName,rawF1DiscreteScore_pre,prop_unchanged,numBlocks_post,rawF1DiscreteScore_post
35,0652-88ebf36e-0780-4434-a9c7-969af27c2636,12,hand_selected_004,0.86,0.3333333333333333,14,0.8431372549019608
36,0652-88ebf36e-0780-4434-a9c7-969af27c2636,8,hand_selected_006,0.7872340425531914,0.375,10,0.7173913043478259
37,0652-88ebf36e-0780-4434-a9c7-969af27c2636,15,hand_selected_009,0.8518518518518519,0.2,16,0.8148148148148148
38,0652-88ebf36e-0780-4434-a9c7-969af27c2636,11,hand_selected_008,0.7037037037037037,0.09090909090909091,5,0.4864864864864866
39,0652-88ebf36e-0780-4434-a9c7-969af27c2636,14,hand_selected_016,0.8125000000000001,0.21428571428571427,16,0.6229508196721312
40,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,11,hand_selected_012,0.9047619047619048,0.45454545454545453,8,0.7692307692307692
41,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,5,hand_selected_004,0.8181818181818181,0.8,11,1.0
42,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,6,hand_selected_006,0.7073170731707317,0.0,8,0.8936170212765957
43,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,9,hand_selected_016,0.8421052631578948,0.5555555555555556,9,0.7837837837837838
44,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,11,hand_selected_011,0.7254901960784313,0.09090909090909091,12,0.8813559322033898
45,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,8,hand_selected_009,0.9090909090909092,1.0,11,0.9791666666666666
46,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,7,hand_selected_005,1.0,0.0,8,0.75
47,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,8,hand_selected_008,0.979591836734694,0.875,9,0.979591836734694
48,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,10,hand_selected_004,0.8936170212765957,0.4,10,1.0
49,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,8,hand_selected_006,0.7111111111111111,0.0,8,0.5909090909090908
50,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,3,hand_selected_005,0.4,0.0,8,0.9583333333333334
51,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,10,hand_selected_012,0.8648648648648648,0.8,11,0.8500000000000001
52,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,10,hand_selected_016,0.8571428571428572,0.3,10,0.9767441860465116
53,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,8,hand_selected_011,0.6976744186046512,0.25,8,0.7450980392156863
54,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,10,hand_selected_008,0.8888888888888891,0.7,9,0.9583333333333334
55,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,10,hand_selected_009,0.9090909090909092,0.4,10,1.0
56,0823-6fe08630-db1c-47e9-b895-7a2bf343bb77,4,hand_selected_008,0.7804878048780487,0.5,10,1.0
57,0823-6fe08630-db1c-47e9-b895-7a2bf343bb77,4,hand_selected_006,0.4705882352941176,0.5,5,0.7317073170731707
58,0823-6fe08630-db1c-47e9-b895-7a2bf343bb77,7,hand_selected_005,0.9090909090909092,0.2857142857142857,7,1.0
59,0823-6fe08630-db1c-47e9-b895-7a2bf343bb77,11,hand_selected_009,1.0,0.45454545454545453,9,0.9583333333333334
60,0823-6fe08630-db1c-47e9-b895-7a2bf343bb77,8,hand_selected_011,0.96,0.875,10,0.9803921568627452
61,0823-6fe08630-db1c-47e9-b895-7a2bf343bb77,6,hand_selected_016,0.6764705882352942,0.0,11,1.0
62,0823-6fe08630-db1c-47e9-b895-7a2bf343bb77,7,hand_selected_004,0.7317073170731707,0.5714285714285714,9,1.0
63,0823-6fe08630-db1c-47e9-b895-7a2bf343bb77,11,hand_selected_012,1.0,1.0,11,1.0
64,0976-bad77500-c02a-44f0-bb87-5dd2768e977c,5,hand_selected_012,0.6249999999999999,0.0,15,0.7555555555555556
65,0976-bad77500-c02a-44f0-bb87-5dd2768e977c,15,hand_selected_004,0.8965517241379308,0.2,11,1.0
66,0976-bad77500-c02a-44f0-bb87-5dd2768e977c,14,hand_selected_009,0.86,0.14285714285714285,12,1.0
67,0976-bad77500-c02a-44f0-bb87-5dd2768e977c,9,hand_selected_006,0.7727272727272727,0.3333333333333333,9,0.8181818181818181
68,0976-bad77500-c02a-44f0-bb87-5dd2768e977c,9,hand_selected_008,0.7692307692307692,0.2222222222222222,10,0.9387755102040816
69,0976-bad77500-c02a-44f0-bb87-5dd2768e977c,13,hand_selected_016,0.625,0.46153846153846156,15,0.8409090909090909
70,0976-bad77500-c02a-44f0-bb87-5dd2768e977c,3,hand_selected_011,0.375,0.0,12,0.981132075471698
