,targetName,gameID,level_2,phase_a,phase_b,actual_euclidean_distance,phase_pair,baseline,optimal_euclidean_distance,phase_a_rawF1DiscreteScore,phase_b_rawF1DiscreteScore,condition
2675,hand_selected_016,3166-e81c23a6-7431-4d04-b543-58a28128c9d9,0,pre,post,2.287900784520155,pre to post,no,2.2120969607687897,0.7250000000000001,1.0,control
2676,hand_selected_016,3312-3155dfa4-6b4b-4645-98ec-b5c778414ddc,0,pre,repetition 1,1.6220084679281461,pre to repetition 1,no,1.4023689270621826,0.5806451612903226,0.7777777777777778,repeated
2677,hand_selected_016,3312-3155dfa4-6b4b-4645-98ec-b5c778414ddc,1,pre,repetition 2,4.1741134335297305,pre to repetition 2,no,2.1944879857956074,0.5806451612903226,0.7608695652173914,repeated
2678,hand_selected_016,3312-3155dfa4-6b4b-4645-98ec-b5c778414ddc,2,pre,post,4.637538755749111,pre to post,no,2.354936294006572,0.5806451612903226,0.5588235294117647,repeated
2679,hand_selected_016,3312-3155dfa4-6b4b-4645-98ec-b5c778414ddc,3,repetition 1,repetition 2,4.790810038419014,repetition 1 to repetition 2,no,1.8334644541534755,0.7777777777777778,0.7608695652173914,repeated
2680,hand_selected_016,3312-3155dfa4-6b4b-4645-98ec-b5c778414ddc,4,repetition 1,post,5.229880842884582,repetition 1 to post,no,2.7096299768369287,0.7777777777777778,0.5588235294117647,repeated
2681,hand_selected_016,3312-3155dfa4-6b4b-4645-98ec-b5c778414ddc,5,repetition 2,post,2.5925085610412175,repetition 2 to post,no,1.6002566051099931,0.7608695652173914,0.5588235294117647,repeated
2682,hand_selected_016,3356-6fd98e27-1dc1-4afe-9e1c-a90f6cd5b1e6,0,pre,post,4.2208412726547255,pre to post,no,1.6435947590689497,0.8181818181818182,0.7142857142857143,control
2683,hand_selected_016,3434-b4d883f9-3dff-48d4-88c0-ee40d88066c9,0,pre,post,4.295222471714531,pre to post,no,2.283126662343804,0.6000000000000001,0.5476190476190476,control
2684,hand_selected_016,3617-63269d47-4210-4e1f-ba73-8a6002269887,0,pre,post,4.042506430813406,pre to post,no,1.7135598070815015,0.875,0.9777777777777776,control
2685,hand_selected_016,3719-c6caf2a8-3673-486a-ab4c-b08c85e31a34,0,pre,post,3.00221332216054,pre to post,no,1.2440169358562925,0.8723404255319149,0.9148936170212766,control
2686,hand_selected_016,3778-28d89187-f8b0-4ca7-b582-96b3400d5813,0,pre,repetition 1,3.1765232315397456,pre to repetition 1,no,2.4179262711957556,0.86,0.8979591836734693,repeated
2687,hand_selected_016,3778-28d89187-f8b0-4ca7-b582-96b3400d5813,1,pre,repetition 2,2.405091480699075,pre to repetition 2,no,1.5909960962920566,0.86,0.6363636363636365,repeated
2688,hand_selected_016,3778-28d89187-f8b0-4ca7-b582-96b3400d5813,2,pre,post,2.8662959115713487,pre to post,no,1.8487874815549372,0.86,0.9166666666666666,repeated
2689,hand_selected_016,3778-28d89187-f8b0-4ca7-b582-96b3400d5813,3,repetition 1,repetition 2,2.390568077001699,repetition 1 to repetition 2,no,1.660672910723255,0.8979591836734693,0.6363636363636365,repeated
2690,hand_selected_016,3778-28d89187-f8b0-4ca7-b582-96b3400d5813,4,repetition 1,post,3.1832512840567353,repetition 1 to post,no,1.7548372002553059,0.8979591836734693,0.9166666666666666,repeated
2691,hand_selected_016,3778-28d89187-f8b0-4ca7-b582-96b3400d5813,5,repetition 2,post,2.8162435408037707,repetition 2 to post,no,2.092260507937704,0.6363636363636365,0.9166666666666666,repeated
2692,hand_selected_016,3934-f8b3e5e2-1f9f-4834-938b-f500355fcff9,0,pre,post,4.362966879691901,pre to post,no,0.9397217345982516,0.875,0.9318181818181818,control
2693,hand_selected_016,3948-85503a22-a997-4a2d-a31a-1ec484f31d72,0,pre,post,1.7476376738895913,pre to post,no,0.40236892706218247,0.9523809523809524,0.888888888888889,control
2694,hand_selected_016,4115-fd198403-2337-4ad4-9b98-3841e429e43e,0,pre,post,2.800742953441646,pre to post,no,1.1836261836837199,0.5757575757575758,0.46875,control
2695,hand_selected_016,4206-62b960fa-1cfe-4205-a116-93fde04873fd,0,pre,repetition 1,3.9533753428352334,pre to repetition 1,no,1.160555127546399,0.6666666666666666,0.7272727272727273,repeated
2696,hand_selected_016,4206-62b960fa-1cfe-4205-a116-93fde04873fd,1,pre,repetition 2,4.051432623721529,pre to repetition 2,no,1.523606797749979,0.6666666666666666,0.7555555555555555,repeated
2697,hand_selected_016,4206-62b960fa-1cfe-4205-a116-93fde04873fd,2,pre,post,4.326453804374009,pre to post,no,1.8614731758877547,0.6666666666666666,0.7142857142857143,repeated
2698,hand_selected_016,4206-62b960fa-1cfe-4205-a116-93fde04873fd,3,repetition 1,repetition 2,0.8951532750363851,repetition 1 to repetition 2,no,0.6082762530298219,0.7272727272727273,0.7555555555555555,repeated
2699,hand_selected_016,4206-62b960fa-1cfe-4205-a116-93fde04873fd,4,repetition 1,post,2.9306831543909326,repetition 1 to post,no,1.7274655300576907,0.7272727272727273,0.7142857142857143,repeated
