,gameID,trialNum,phase,condition,eventType,score,normedScore,numBlocks,timeAbsolute,timeRelative,currBonus,exploreResets,allVertices,nPracticeAttempts,exploreStartTime,targetName,finalExploreBlocks,preResetExploreBlocks,totalExploreBlocks,numAttempts
21,0557-d10fc037-8516-4352-8b27-6e3c82eeeace,5,explore,mental,explore_end,0.19,0,0,1575561000764.0,977682.7799999155,0,0,[],,1575560970761.0,hand_selected_012,0,[],0.0,1
22,0557-d10fc037-8516-4352-8b27-6e3c82eeeace,6,explore,mental,explore_end,0.2,0,0,1575561162028.0,1138944.7149999905,0,0,[],,1575561132026.0,hand_selected_007,0,[],0.0,1
23,0557-d10fc037-8516-4352-8b27-6e3c82eeeace,7,explore,physical,explore_end,0.25,0,7,1575561339948.0,1316862.1099999873,0,0,"[[{'x': 267.2741703864422, 'y': 592.5898783164763}, {'x': 487.27417036404654, 'y': 592.5930174152243}, {'x': 487.27260081467233, 'y': 702.5930174040265}, {'x': 267.272600837068, 'y': 702.5898783052785}], [{'x': 499.0217310179555, 'y': 592.69645680166}, {'x': 719.0217310156046, 'y': 592.6974737569177}, {'x': 719.021222537976, 'y': 702.6974737557433}, {'x': 499.02122254032685, 'y': 702.6964568004856}], [{'x': 322.2983733907136, 'y': 372.8146828982598}, {'x': 432.29837265559627, 'y': 372.8274000451726}, {'x': 432.2729383617703, 'y': 592.8273985749425}, {'x': 322.2729390968876, 'y': 592.81468142803}], [{'x': 501.274563209161, 'y': 483.13723645180016}, {'x': 721.2745631815411, 'y': 483.14072256143794}, {'x': 721.2728201267206, 'y': 593.1407225476279}, {'x': 501.2728201543417, 'y': 593.1372364379909}], [{'x': 503.5284693237812, 'y': 373.4564509478098}, {'x': 723.5284692775722, 'y': 373.4609600234283}, {'x': 723.5262147397635, 'y': 483.4609600003238}, {'x': 503.52621478597223, 'y': 483.4564509247053}], [{'x': 501.27603264699866, 'y': 263.6023201907709}, {'x': 721.2760326442537, 'y': 263.60341922064197}, {'x': 721.2754831293184, 'y': 373.60341921926954}, {'x': 501.2754831320631, 'y': 373.6023201893985}], [{'x': 276.3260916135055, 'y': 262.8452089351218}, {'x': 496.32608680372954, 'y': 262.89121221087254}, {'x': 496.3030851658538, 'y': 372.8912098059845}, {'x': 276.3030899756298, 'y': 372.8452065302337}]]",,1575561309946.0,hand_selected_002,7,[],7.0,1
24,0557-d10fc037-8516-4352-8b27-6e3c82eeeace,8,explore,physical,explore_end,0.3,0,6,1575561444879.0,1421791.18499998,0,0,"[[{'x': 332.531358179465, 'y': 592.6974740218762}, {'x': 552.531355826159, 'y': 592.6652955416581}, {'x': 552.5474450662688, 'y': 702.6652943650057}, {'x': 332.54744741957427, 'y': 702.6974728452238}], [{'x': 558.4418244351098, 'y': 592.4968297116352}, {'x': 668.4418106095676, 'y': 592.441678834518}, {'x': 668.4969614866843, 'y': 702.4416650089756}, {'x': 558.4969753122267, 'y': 702.4968158860928}], [{'x': 496.68594852814874, 'y': 482.5664020861141}, {'x': 716.6859366313056, 'y': 482.4940514729397}, {'x': 716.7221119378936, 'y': 592.4940455245177}, {'x': 496.72212383473635, 'y': 592.5663961376918}], [{'x': 273.9313195455344, 'y': 483.17021595588994}, {'x': 493.9312915853152, 'y': 483.05929933947107}, {'x': 493.98674989352435, 'y': 593.0592853593599}, {'x': 273.98677785374366, 'y': 593.1702019757781}], [{'x': 274.92108632026896, 'y': 428.48228133969155}, {'x': 384.92107591771463, 'y': 428.43444242363057}, {'x': 384.94499537574507, 'y': 483.4344372223536}, {'x': 274.9450057782994, 'y': 483.4822761384146}], [{'x': 322.70858588056313, 'y': 318.49272227778204}, {'x': 377.70858567796006, 'y': 318.4880014372103}, {'x': 377.7180273591035, 'y': 428.48800103200415}, {'x': 322.71802756170655, 'y': 428.4927218725759}]]",,1575561414877.0,hand_selected_011,6,[],6.0,1
25,0557-d10fc037-8516-4352-8b27-6e3c82eeeace,9,explore,mental,explore_end,0.31,0,0,1575561561589.0,1538499.7649999568,0,0,[],,1575561531586.0,hand_selected_013,0,[],0.0,1
26,0557-d10fc037-8516-4352-8b27-6e3c82eeeace,10,explore,mental,explore_end,0.36,0,0,1575561663251.0,1640161.364999949,0,0,[],,1575561633250.0,hand_selected_009,0,[],0.0,1
27,0557-d10fc037-8516-4352-8b27-6e3c82eeeace,11,explore,physical,explore_end,0.41,0,0,1575561762929.0,1739837.7249999903,0,2,[],,1575561732928.0,hand_selected_001,0,"[2, 4]",6.0,3
28,0557-d10fc037-8516-4352-8b27-6e3c82eeeace,12,explore,mental,explore_end,0.45999999999999996,0,0,1575561870671.0,1847577.7049999451,0,0,[],,1575561840668.0,hand_selected_016,0,[],0.0,1
29,0557-d10fc037-8516-4352-8b27-6e3c82eeeace,13,explore,physical,explore_end,0.51,0,7,1575561967293.0,1944198.5799999675,0,0,"[[{'x': 328.3624393322864, 'y': 592.7707691960733}, {'x': 548.3624391717168, 'y': 592.7623638212308}, {'x': 548.3666418591378, 'y': 702.762363740946}, {'x': 328.36664201970797, 'y': 702.7707691157884}], [{'x': 558.7279108531565, 'y': 592.6063902754709}, {'x': 668.7278874005336, 'y': 592.6782204672402}, {'x': 668.656057208765, 'y': 702.6781970146178}, {'x': 558.6560806613874, 'y': 702.6063668228485}], [{'x': 492.7741118843622, 'y': 482.94571576521747}, {'x': 712.7740517673786, 'y': 483.1083548414994}, {'x': 712.6927322292369, 'y': 593.1083247830053}, {'x': 492.69279234622155, 'y': 592.9456857067242}], [{'x': 324.73744035662617, 'y': 482.9977802288921}, {'x': 434.73741348614544, 'y': 482.92089391624256}, {'x': 434.81429979879476, 'y': 592.9208670457625}, {'x': 324.8143266692755, 'y': 592.9977533584113}], [{'x': 273.87273261642196, 'y': 373.2908544706011}, {'x': 493.8723378916554, 'y': 372.8741066555143}, {'x': 494.0807117991986, 'y': 482.873909293131}, {'x': 274.08110652396505, 'y': 483.29065710821783}], [{'x': 502.6603661968836, 'y': 373.00342194019805}, {'x': 612.6603483095931, 'y': 373.0661531395122}, {'x': 612.5976171102789, 'y': 483.06613525222286}, {'x': 502.5976349975697, 'y': 483.0034040529087}], [{'x': 660.653370015528, 'y': 373.12022184147105}, {'x': 715.6533619919675, 'y': 373.149930284908}, {'x': 715.5939451050938, 'y': 483.1499142377866}, {'x': 660.5939531286543, 'y': 483.12020579434966}]]",,1575561937292.0,hand_selected_008,7,[],7.0,1
30,0557-d10fc037-8516-4352-8b27-6e3c82eeeace,14,explore,physical,explore_end,0.54,0,4,1575562062998.0,2039901.974999928,0,1,"[[{'x': 492.5468044086911, 'y': 592.5114677367832}, {'x': 712.5468044086858, 'y': 592.5114167517501}, {'x': 712.5468299012018, 'y': 702.5114167517473}, {'x': 492.54682990120756, 'y': 702.5114677367804}], [{'x': 267.5466842340794, 'y': 592.5365402769764}, {'x': 487.5466842340504, 'y': 592.536427511025}, {'x': 487.54674061702576, 'y': 702.536427511011}, {'x': 267.54674061705475, 'y': 702.5365402769622}], [{'x': 426.04728466821894, 'y': 482.60166925685314}, {'x': 536.0472846675657, 'y': 482.60204825596577}, {'x': 536.0469056684526, 'y': 592.602048255314}, {'x': 426.04690566910654, 'y': 592.6016692562009}], [{'x': 320.79499116115187, 'y': 482.58693899867853}, {'x': 375.7949911545561, 'y': 482.5860872220347}, {'x': 375.79669470784404, 'y': 592.5860872088438}, {'x': 320.7966947144398, 'y': 592.5869389854877}]]",,1575562032997.0,hand_selected_010,4,[4],8.0,2
