,targetName,phase,gini,nlevel
44,hand_selected_006,pre,0.27241379310344827,3.0
45,hand_selected_006,post,0.34339500162284975,3.0
46,hand_selected_006,pre,0.23918269230769232,4.0
47,hand_selected_006,post,0.3112332531776022,4.0
48,hand_selected_006,pre,0.20380434782608695,5.0
49,hand_selected_006,post,0.2781746031746032,5.0
50,hand_selected_006,pre,0.16666666666666666,6.0
51,hand_selected_006,post,0.24928229665071772,6.0
52,hand_selected_006,pre,0.15250544662309368,7.0
53,hand_selected_006,post,0.23726627981947132,7.0
54,hand_selected_006,pre,0.13975155279503104,8.0
55,hand_selected_006,post,0.21886446886446886,8.0
56,hand_selected_006,pre,0.11483253588516747,9.0
57,hand_selected_006,post,0.1879382889200561,9.0
58,hand_selected_006,pre,0.10714285714285714,10.0
59,hand_selected_006,post,0.15700483091787443,10.0
60,hand_selected_008,pre,0.4171410499683744,1.0
61,hand_selected_008,post,0.5835125448028674,1.0
62,hand_selected_008,pre,0.31322751322751324,2.0
63,hand_selected_008,post,0.5384615384615384,2.0
64,hand_selected_008,pre,0.2456,3.0
65,hand_selected_008,post,0.476,3.0
66,hand_selected_008,pre,0.17424242424242425,4.0
67,hand_selected_008,post,0.4054721977052074,4.0
68,hand_selected_008,pre,0.11743644826351593,5.0
69,hand_selected_008,post,0.3279279279279279,5.0
70,hand_selected_008,pre,0.09205426356589147,6.0
71,hand_selected_008,post,0.28095238095238095,6.0
72,hand_selected_008,pre,0.04851004851004852,7.0
73,hand_selected_008,post,0.23672456575682382,7.0
74,hand_selected_008,pre,0.032183908045977004,8.0
75,hand_selected_008,post,0.17696202531645566,8.0
76,hand_selected_008,pre,0.0,9.0
77,hand_selected_008,post,0.12666666666666668,9.0
78,hand_selected_008,pre,0.0,10.0
79,hand_selected_008,post,0.08888888888888889,10.0
80,hand_selected_009,pre,0.4494830827067669,1.0
81,hand_selected_009,post,0.5419753086419753,1.0
82,hand_selected_009,pre,0.3323149699418547,2.0
83,hand_selected_009,post,0.486890243902439,2.0
84,hand_selected_009,pre,0.245275888133031,3.0
85,hand_selected_009,post,0.42987080487080487,3.0
86,hand_selected_009,pre,0.18656102078616998,4.0
87,hand_selected_009,post,0.36616773057451024,4.0
88,hand_selected_009,pre,0.1361904761904762,5.0
89,hand_selected_009,post,0.308527820398934,5.0
90,hand_selected_009,pre,0.09386973180076628,6.0
91,hand_selected_009,post,0.23147465437788017,6.0
92,hand_selected_009,pre,0.050965250965250966,7.0
93,hand_selected_009,post,0.16075001429143085,7.0
94,hand_selected_009,pre,0.03167546540705752,8.0
95,hand_selected_009,post,0.12399077277970011,8.0
96,hand_selected_009,pre,0.020390070921985817,9.0
97,hand_selected_009,post,0.08804610024122218,9.0
98,hand_selected_009,pre,0.0,10.0
99,hand_selected_009,post,0.07252326217843459,10.0
100,hand_selected_011,pre,0.30065005417118096,1.0
101,hand_selected_011,post,0.5144808937593397,1.0
102,hand_selected_011,pre,0.23011363636363635,2.0
103,hand_selected_011,post,0.4911287469039074,2.0
104,hand_selected_011,pre,0.19806094182825484,3.0
105,hand_selected_011,post,0.452143900172574,3.0
106,hand_selected_011,pre,0.1757894736842105,4.0
107,hand_selected_011,post,0.38811881188118813,4.0
108,hand_selected_011,pre,0.14352159468438538,5.0
