trialNum,rawF1DiscreteScore,repetition,gameID,targetName,condition,phase,buildTime,bis
6,-1.5297183937093841,0,0477-2df104ca-e405-4c6c-a35d-eb6b52cdde96,hand_selected_006,repeated,pre,0.4716003888997967,-2.001318782609181
7,0.29689047799424634,0,0477-2df104ca-e405-4c6c-a35d-eb6b52cdde96,hand_selected_012,control,pre,1.2066691834071817,-0.9097787054129354
8,0.35875423657244454,1,0477-2df104ca-e405-4c6c-a35d-eb6b52cdde96,hand_selected_009,repeated,repeated,0.9185459361739292,-0.5597916996014847
9,0.8439601862053685,1,0477-2df104ca-e405-4c6c-a35d-eb6b52cdde96,hand_selected_004,repeated,repeated,0.01511519048684512,0.8288449957185233
10,-2.625262353670039,1,0477-2df104ca-e405-4c6c-a35d-eb6b52cdde96,hand_selected_006,repeated,repeated,-2.6367789119002847,0.011516558230245888
11,0.6938495955376823,1,0477-2df104ca-e405-4c6c-a35d-eb6b52cdde96,hand_selected_008,repeated,repeated,0.42106602070497123,0.2727835748327111
12,0.6938495955376823,2,0477-2df104ca-e405-4c6c-a35d-eb6b52cdde96,hand_selected_009,repeated,repeated,-0.3676310829071264,1.0614806784448088
13,0.8385139969747949,2,0477-2df104ca-e405-4c6c-a35d-eb6b52cdde96,hand_selected_008,repeated,repeated,-1.4993688849029756,2.3378828818777704
14,0.8439601862053685,2,0477-2df104ca-e405-4c6c-a35d-eb6b52cdde96,hand_selected_004,repeated,repeated,-1.8799236168191105,2.7238838030244787
15,-0.7634255701948651,2,0477-2df104ca-e405-4c6c-a35d-eb6b52cdde96,hand_selected_006,repeated,repeated,0.14016196892812247,-0.9035875391229876
16,0.9773918223544221,3,0477-2df104ca-e405-4c6c-a35d-eb6b52cdde96,hand_selected_005,control,post,-0.5237461846518552,1.5011380070062774
17,0.8385139969747949,3,0477-2df104ca-e405-4c6c-a35d-eb6b52cdde96,hand_selected_008,repeated,post,0.3648594275086858,0.4736545694661091
18,0.4103073687209419,3,0477-2df104ca-e405-4c6c-a35d-eb6b52cdde96,hand_selected_004,repeated,post,0.32773213659003847,0.08257523213090345
19,-1.0331803314370063,3,0477-2df104ca-e405-4c6c-a35d-eb6b52cdde96,hand_selected_011,control,post,0.139259569496072,-1.1724399009330781
20,-1.6399210405693303,3,0477-2df104ca-e405-4c6c-a35d-eb6b52cdde96,hand_selected_006,repeated,post,0.973592301529007,-2.6135133420983374
21,-0.6343218879723107,3,0477-2df104ca-e405-4c6c-a35d-eb6b52cdde96,hand_selected_016,control,post,1.2792478805849539,-1.9135697685572646
22,0.18611118937747348,3,0477-2df104ca-e405-4c6c-a35d-eb6b52cdde96,hand_selected_009,repeated,post,-1.1319634018538618,1.3180745912313352
23,0.6371411501743338,3,0477-2df104ca-e405-4c6c-a35d-eb6b52cdde96,hand_selected_012,control,post,-0.7380015926615489,1.3751427428358827
0,-1.6007906971827564,0,0622-493f8d2b-4aa3-4b1c-ad92-f6014b9fc709,hand_selected_004,control,pre,-1.784910970540682,0.1841202733579257
1,-1.7209784112438686,0,0622-493f8d2b-4aa3-4b1c-ad92-f6014b9fc709,hand_selected_006,repeated,pre,-2.103223929383333,0.38224551813946417
2,-0.04233623143624803,0,0622-493f8d2b-4aa3-4b1c-ad92-f6014b9fc709,hand_selected_011,repeated,pre,0.8806041642400847,-0.9229403956763327
3,0.11256711292707068,0,0622-493f8d2b-4aa3-4b1c-ad92-f6014b9fc709,hand_selected_009,repeated,pre,-0.8797974677135022,0.9923645806405729
4,1.0382090487566558,0,0622-493f8d2b-4aa3-4b1c-ad92-f6014b9fc709,hand_selected_012,control,pre,0.7667175957811757,0.27149145297548005
5,-1.1279469273896985,0,0622-493f8d2b-4aa3-4b1c-ad92-f6014b9fc709,hand_selected_005,repeated,pre,0.08880779702951944,-1.2167547244192178
6,0.06611506963574552,0,0622-493f8d2b-4aa3-4b1c-ad92-f6014b9fc709,hand_selected_016,control,pre,-1.6029771774275747,1.6690922470633203
7,-0.5266130027615689,0,0622-493f8d2b-4aa3-4b1c-ad92-f6014b9fc709,hand_selected_008,control,pre,0.6403035047917865,-1.1669165075533554
8,0.6175797043320111,1,0622-493f8d2b-4aa3-4b1c-ad92-f6014b9fc709,hand_selected_005,repeated,repeated,0.2872551425691685,0.33032456176284264
9,-0.9660493322975096,1,0622-493f8d2b-4aa3-4b1c-ad92-f6014b9fc709,hand_selected_006,repeated,repeated,0.03499639343268491,-1.0010457257301946
10,-0.04233623143624803,1,0622-493f8d2b-4aa3-4b1c-ad92-f6014b9fc709,hand_selected_011,repeated,repeated,1.0861694203084156,-1.1285056517446637
11,0.0007105926815588745,1,0622-493f8d2b-4aa3-4b1c-ad92-f6014b9fc709,hand_selected_009,repeated,repeated,0.17137555916222852,-0.17066496648066964
12,-1.6565921358539866,2,0622-493f8d2b-4aa3-4b1c-ad92-f6014b9fc709,hand_selected_009,repeated,repeated,0.44612690556934664,-2.102719041423333
13,-1.5689968542189168,2,0622-493f8d2b-4aa3-4b1c-ad92-f6014b9fc709,hand_selected_006,repeated,repeated,-0.8718254079213785,-0.6971714462975382
